---- LOG BEGIN ----
158701.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158702.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158703.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158704.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158705.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158706.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158707.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158708.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158709.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158710.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158711.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158712.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158713.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158714.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158715.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158716.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158717.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158718.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158719.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158720.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158721.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158722.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158723.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158724.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158725.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158726.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158727.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158729.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158730.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
158731.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158732.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158733.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158735.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158736.xml -- Nota Desviada || Motivo: Natureza incorreta. -- 29-09-2022, 16:38:40 
158737.xml -- Nota Desviada || Motivo: Sem imposto. -- 29-09-2022, 16:38:40 
